stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
EDISON3,"Edison",47.232925,5.973859,0,st_edison,0
TORPES05,"Torpes - Piroulette",47.181683,5.873416,0,st_torpes__piroulette,0
TORPES06,"Torpes - Piroulette",47.18168,5.873384,0,st_torpes__piroulette,0
DONZELO1,"Donzelot",47.249332,6.051472,0,st_donzelot,0
PELOUS01,"Pelousey - Chêne Béni",47.279903,5.93268,0,st_pelousey__chene_beni,0
DONZELO2,"Donzelot",47.24951,6.049993,0,st_donzelot,1
AMAGN08,"Amagney - Les Mirabelles",47.301163,6.154579,0,st_amagney__les_mirabelles,0
TORPES01,"Torpes - Gare",47.166077,5.891303,0,st_torpes__gare,1
AMAGN07,"Amagney - Les Mirabelles",47.30101,6.154758,0,st_amagney__les_mirabelles,0
TORPES02,"Torpes - Gare",47.165882,5.891082,0,st_torpes__gare,1
AMAGN06,"Amagney - Fontaine",47.305893,6.150131,0,st_amagney__fontaine,0
TORPES03,"Torpes - Eglise",47.16966,5.891329,0,st_torpes__eglise,1
AMAGN05,"Amagney - Fontaine",47.305943,6.150284,0,st_amagney__fontaine,0
EDISON4,"Edison",47.232803,5.973448,0,st_edison,0
TORPES04,"Torpes - Eglise",47.16963,5.891392,0,st_torpes__eglise,1
AMAGN04,"Amagney - Prairie",47.304665,6.151689,0,st_amagney__prairie,0
AMAGN14,"Amagney - Combe Lançon",47.29379,6.136392,0,st_amagney__combe_lancon,0
CHAUDAN1,"Chaudanne",47.2304,6.014409,0,st_chaudanne,0
AMAGN13,"Amagney - Combe Lançon",47.293423,6.135959,0,st_amagney__combe_lancon,0
CHAUDAN2,"Chaudanne",47.230503,6.014415,0,st_chaudanne,0
AMAGN12,"Amagney - Douraise",47.3048,6.145531,0,st_amagney__douraise,0
AMAGN11,"Amagney - Douraise",47.304764,6.145079,0,st_amagney__douraise,0
t_schw1,"Schweitzer",47.256077,6.04481,0,st_schweitzer,1
t_schw2,"Schweitzer",47.25585,6.04508,0,st_schweitzer,1
PERGAUD1,"Haras",47.234695,6.008151,0,st_haras,1
AMAGN18,"Amagney - Prés Noirs",47.30127,6.139593,0,st_amagney__pres_noirs,0
PERGAUD2,"Haras",47.234833,6.008103,0,st_haras,1
AMAGN17,"Amagney - Prés Noirs",47.301243,6.139495,0,st_amagney__pres_noirs,0
NOTDAME2,"Notre Dame",47.2501,6.004226,0,st_notre_dame,0
NOTDAME1,"Notre Dame",47.250347,6.005563,0,st_notre_dame,0
ESAVOYE1,"Eugène Savoye",47.24947,6.02298,0,st_eugene_savoye,0
STA,"St Amour",47.239227,6.026853,0,st_st_amour,1
ESPLAN1,"Esplanade",47.23478,6.02082,0,st_esplanade,0
ANTORP02,"Saint-Vit - Antorpe",47.1843,5.791965,0,st_saintvit__antorpe,0
PRESVAU1,"Prés de Vaux",47.229652,6.053614,0,st_pres_de_vaux,0
ANTORP01,"Saint-Vit - Antorpe",47.1843,5.791965,0,st_saintvit__antorpe,0
OBSAFPA3,"AFPA",47.24683,5.99625,0,st_afpa,1
OBSAFPA2,"AFPA",47.24676,5.99651,0,st_afpa,1
AIGUILL2,"Aiguille",47.240826,6.038393,0,st_aiguille,0
THORAI01,"Thoraise - Village",47.173084,5.903192,0,st_thoraise__village,1
AIGUILL1,"Aiguille",47.240772,6.038847,0,st_aiguille,0
THORAI02,"Thoraise - Village",47.17316,5.903169,0,st_thoraise__village,1
THORAI03,"Thoraise - Surotte",47.174366,5.902225,0,st_thoraise__surotte,0
CHAMESP1,"Chamars Esplanade",47.23478,6.020848,0,st_chamars_esplanade,0
CHAMESP2,"Chamars Esplanade",47.23431,6.0208,0,st_chamars_esplanade,0
ULL2,"Ullmann",47.254303,5.98762,0,st_ullmann,0
AUDEU04,"Audeux - Mairie",47.26236,5.872282,0,st_audeux__mairie,1
ULL1,"Ullmann",47.254303,5.98762,0,st_ullmann,0
AUDEU03,"Audeux - Mairie",47.262466,5.872575,0,st_audeux__mairie,1
ORCTGB,"Orchamps",47.263336,6.046062,0,st_orchamps,0
AUDEU02,"Audeux - Village",47.261093,5.871455,0,st_audeux__village,0
AUDEU01,"Audeux - Village",47.2611,5.871447,0,st_audeux__village,0
BELIN2,"Belin",47.22512,5.965313,0,st_belin,0
BELIN1,"Belin",47.22524,5.965668,0,st_belin,0
CITAR02,"Cité des Arts",47.236073,6.033217,0,st_cite_des_arts,0
CITAR01,"Cité des Arts",47.23615,6.033246,0,st_cite_des_arts,0
DEULYS01,"Deux Lys",47.22519,6.018142,0,st_deux_lys,0
ROCHE09,"Roche-lez-Beaupré - Tamaris",47.27657,6.11611,0,st_rochelezbeaupre__tamaris,0
ROCHE08,"Roche-lez-Beaupré - Rosiers",47.274517,6.107054,0,st_rochelezbeaupre__rosiers,0
BELFORT2,"Belfort",47.25672,6.04214,0,st_belfort,0
ROCHE07,"Roche-lez-Beaupré - Rosiers",47.27449,6.106514,0,st_rochelezbeaupre__rosiers,0
BELFORT1,"Belfort",47.256645,6.042124,0,st_belfort,0
ROCHE06,"Roche-lez-Beaupré - Gare",47.275917,6.11257,0,st_rochelezbeaupre__gare,1
DEULYS02,"Deux Lys",47.22519,6.018142,0,st_deux_lys,0
ROCHE05,"Roche-lez-Beaupré - Gare",47.27572,6.11258,0,st_rochelezbeaupre__gare,1
ROCHE02,"Roche-lez-Beaupré - Carrefour Vaufressons",47.280457,6.114928,0,st_rochelezbeaupre__carrefour_vaufressons,0
ROCHE01,"Roche-lez-Beaupré - Carrefour Vaufressons",47.28048,6.114971,0,st_rochelezbeaupre__carrefour_vaufressons,0
